Duke,1
North Dakota State,16
VCU,8
UCF,9
Mississippi State,5
Liberty,12
Virginia Tech,4
Saint Louis,13
Maryland,6
Belmont,11
LSU,3
Yale,14
Louisville,7
Minnesota,10
Michigan State,2
Bradley,15
Gonzaga,1
Fairleigh Dickinson,16
Syracuse,8
Baylor,9
Marquette,5
Murray State,12
Florida State,4
Vermont,13
Buffalo,6
Arizona State,11
Texas Tech,3
Northern Kentucky,14
Nevada,7
Florida,10
Michigan,2
Montana,15
Virginia,1
Gardner-Webb,16
Ole Miss,8
Oklahoma,9
Wisconsin,5
Oregon,12
Kansas State,4
UC-Irvine,13
Villanova,6
Saint Mary's,11
Purdue,3
Old Dominion,14
Cincinnati,7
Iowa,10
Tennessee,2
Colgate,15
UNC,1
Iona,16
Utah State,8
Washington,9
Auburn,5
New Mexico State,12
Kansas,4
Northeastern,13
Iowa State,6
Ohio State,11
Houston,3
Georgia State,14
Wofford,7
Seton Hall,10
Kentucky,2
Abilene Christian,15
